अँग्रेज़	ãgrēza
फ़ायदों	fāyadō̃
फायरवॉल	phāyaravôla
फ़ायरिंग	fāyaringa
फार्म	phārma
फ़ार्म	fārma
फार्मूला	phārmūlā
फ़ार्मूला	fārmūlā
फार्मूले	phārmūlē
फ़ार्मूले	fārmūlē
फार्रेल	phārrēla
फारवर्ड	phāravarḍa
फारसी	phārasī
फ़ारसी	fārasī
फ़ारूक़	fārūqa
फारूकी	phārūkī
फारूख	phārūkha
फाल्के	phālkē
फाल्गुन	phālguna
फ़ाल्गुन	fālguna
फ़ालतू	fālatū
फालिस	phālisa
फालोऑन	phālōôna
फ़ासला	fāsalā
फासले	phāsalē
फासीवादियों	phāsīvādiyō̃
फ़िंगर	fingara
फ़िक्र	fikra
फ़िकरे	fikarē
फ़िकरों	fikarō̃
फ़िक्स	fiksa
फ़िक्सिंग	fiksinga
फ़िग्वेरेडो	figvērēḍō
फिगो	phigō
फ़िज़िक्स	fiziksa
फ़िजूल	fijūla
फ़िज़ूलखर्ची	fizūlakharcī
फ़िज़ूलख़र्ची	fizūlaḵẖarcī
फिट	phiṭa
फ़िट	fiṭa
फितरत	phitarata
फ़िनलैंड	finalaiṇḍa
फिप्पस	phippasa
फिर	phira
फ़िर	fira
फ़िरकापरस्त	firakāparasta
फिरता	phiratā
फिरना	phiranā
फिराकी	phirākī
फिरोज	phirōja
फिरोज़	phirōza
फ़िरोज	firōja
फ़िरोज़	firōza
फिरौती	phirautī
फ़िरौती	firautī
फिल्म	philma
फ़िल्म	filma
फ़िल्मकार	filmakāra
फ़िल्मकारों	filmakārō̃
फिल्मवाले	philmavālē
फ़िल्मवालों	filmavālō̃
फिल्मस	philmasa
फ़िल्म्स	filmsa
फ़िल्माए	filmāē
फिल्माया	philmāyā
फ़िल्माया	filmāyā
फिल्मी	philmī
फ़िल्मी	filmī
फ़िल्मे	filmē
फिल्में	philmē̃
फ़िल्में	filmē̃
फ़िल्मो	filmō
फिल्मों	philmō̃
फ़िल्मों	filmō̃
फिल्मोत्सव	philmōtsava
फ़िल्मोत्सव	filmōtsava
फिल्मोद्योग	philmōdyōga
फ़िल्मोद्योग	filmōdyōga
फिलहाल	philahāla
फ़िलहाल	filahāla
फिलाडेल्फ़िया	philāḍēlfiyā
फ़िलाडेल्फ़िया	filāḍēlfiyā
फ़िलाहाल	filāhāla
फिलिप	philipa
फ़िलिप	filipa
फिलीपींस	philīpī̃sa
फ़िलीपीन्स	filīpīnsa
फिलीपीनी	philīpīnī
फिले	philē
फ़िलेडेल्फ़िया	filēḍēlfiyā
फ़िश	fiśa
फिसल	phisala
फिसलन	phisalana
फीका	phīkā
फीगो	phīgō
फ़ीचर	fīcara
फीचर्स	phīcarsa
फ़ीजि	fīji
फ़ीजी	fījī
फीनिक्स	phīniksa
फ़ीनिक्स	fīniksa
फ़ीफ़ा	fīfā
फ़ीमेल	fīmēla
फ़ीरोज़	fīrōza
फ़ील्ड	fīlḍa
फ़ीस	fīsa
फीसदी	phīsadī
फ़ीसदी	fīsadī
फ़ुकेत	fukēta
फुट	phuṭa
फुटबाल	phuṭabāla
फुटबॉल	phuṭabôla
फ़ुटबॉल	fuṭabôla
फ़ुबॉल	fubôla
फुरत	phurata
फुर्ती	phurtī
फुर्तीली	phurtīlī
फ़ुरसत	furasata
फुलकी	phulakī
फुल्की	phulkī
फ़ुल्की	fulkī
फुलके	phulakē
फुल्के	phulkē
फुलझड़ियों	phulajhaṛiyō̃
फुलाने	phulānē
फुसफुसा	phusaphusā
फूँक	phū̃ka
फूंक	phūnka
फूकट	phūkaṭa
फ़ूकेत	fūkēta
फूट	phūṭa
फूटफूट	phūṭaphūṭa
फूटी	phūṭī
फूटे	phūṭē
फूड	phūḍa
फूल	phūla
फ़ूल	fūla
फूलका	phūlakā
फूलना	phūlanā
फूलने	phūlanē
फूला	phūlā
फूले	phūlē
फूलों	phūlō̃
फेंक	phēnka
फेंकते	phēnkatē
फेंकना	phēnkanā
फेंकने	phēnkanē
फेंके	phēnkē
फ़ेडरर	fēḍarara
फेडरेशन	phēḍarēśana
फ़ेडरेशन	fēḍarēśana
फ़ेडेरेशन	fēḍērēśana
फ़ेथफ़ुल	fēthafula
फेफड़ा	phēphaṛā
फेफड़े	phēphaṛē
फेफडों	phēphaḍō̃
फेफड़ों	phēphaṛō̃
फेयर	phēyara
फेर	phēra
फेरबदल	phērabadala
फ़ेरबदल	fērabadala
फ़ेरहिस्त	fērahista
फ़ेरिस	fērisa
फेल	phēla
फ़ेल	fēla
फ़ेलिका	fēlikā
फ़ेलोशिप	fēlōśipa
फ़ेस	fēsa
फ़ेस्टिवल	fēsṭivala
फ़ेहरिस्त	fēharista
फैंकने	phainkanē
फ़ैक्टरियों	faikṭariyō̃
फ़ैक्टरी	faikṭarī
फैज़ाबाद	phaizābāda
फ़ैज़ाबाद	faizābāda
फ़ैड	faiḍa
फैमिली	phaimilī
फैल	phaila
फैलता	phailatā
फैलती	phailatī
फैलते	phailatē
फैलना	phailanā
फैलने	phailanē
फैला	phailā
फैलाई	phailāī
फैलाईं	phailāī̃
फैलाती	phailātī
फैलाते	phailātē
फैलाने	phailānē
फ़ैलाने	failānē
फैलाया	phailāyā
फैली	phailī
फैले	phailē
फैलेगी	phailēgī
फैशन	phaiśana
फ़ैशन	faiśana
फ़ैसल	faisala
फैसला	phaisalā
फ़ैसला	faisalā
फैसले	phaisalē
फ़ैसले	faisalē
फ़ैसलों	faisalō̃
फॉक्स	phôksa
फ़ॉन्ट	fônṭa
फॉर	phôra
फ़ॉर	fôra
फॉर्म	phôrma
फ़ॉर्म	fôrma
फ़ॉर्मूला	fôrmūlā
फ़ॉर्मूले	fôrmūlē
फ़ॉर्मेट	fôrmēṭa
फ़ॉल	fôla
फ़ोटॉन	fōṭôna
फोटो	phōṭō
फ़ोटो	fōṭō
फोटोग्राफर	phōṭōgrāphara
फ़ोटोग्राफ़र	fōṭōgrāfara
फ़ोटोग्राफ़रों	fōṭōgrāfarō̃
फ़ोटोग्राफ़ी	fōṭōgrāfī
फ़ोटोशॉप	fōṭōśôpa
फोटोस्टेट	phōṭōsṭēṭa
फोड़	phōṛa
फोन	phōna
फ़ोन	fōna
फोनों	phōnō̃
फ़ोनों	fōnō̃
फ़ोनोग्राफ़	fōnōgrāfa
फ़ोबे	fōbē
फ़ोर्ट	fōrṭa
फोरम	phōrama
फ़ोरम	fōrama
फ़ोर्स	fōrsa
फ़ोर्सेस	fōrsēsa
फ़ौजी	faujī
फौरन	phaurana
फ़ौरन	faurana
बँगला	bam̐galā
बँट	bam̐ṭa
बँटवारा	bam̐ṭavārā
बँटवारे	bam̐ṭavārē
बँटा	bam̐ṭā
बँटी	bam̐ṭī
बँटे	bam̐ṭē
बँटेगा	bam̐ṭēgā
बँध	bam̐dha
बँधे	bam̐dhē
बंग्लादेश	banglādēśa
बंगले	bangalē
बंगलोर	bangalōra
बंगलौर	bangalaura
बंगाल	bangāla
बंगालियों	bangāliyō̃
बंगाली	bangālī
बंटा	baṇṭā
बंटाया	baṇṭāyā
बंटी	baṇṭī
बंद	banda
बंद्योपाध्याय	bandyōpādhyāya
बंदर	bandara
बंदरगाह	bandaragāha
बंदरों	bandarō̃
बंदल	bandala
बंदियों	bandiyō̃
बंदी	bandī
बंदूक	bandūka
बंदे	bandē
बंध	bandha
बंधक	bandhaka
बंधकों	bandhakō̃
बंधन	bandhana
बंधनों	bandhanō̃
बंधा	bandhā
बंधाना	bandhānā
बंधु	bandhu
बंधुओं	bandhuō̃
बंधुत्व	bandhutva
बंधे	bandhē
बंबइया	bambaiyā
बंबई	bambaī
बंसोडे	baṁsōḍē
बंसोदे	baṁsōdē
बक्र	bakra
बक़र	baqara
बकरी	bakarī
बक़रीद	baqarīda
बकवास	bakavāsa
बक्सर	baksara
बक्सानी	baksānī
बक्से	baksē
बकाया	bakāyā
बकिंघम	bakinghama
बक़ौल	baqaula
बख़्त	baḵẖta
बखान	bakhāna
बख़ुद	baḵẖuda
बखूबी	bakhūbī
बख़ूबी	baḵẖūbī
बग्गा	baggā
बगदाद	bagadāda
बग़दाद	baġdāda
बगल	bagala
बगलिहार	bagalihāra
बगान	bagāna
बगाहे	bagāhē
बगैर	bagaira
बग़ैर	baġaira
बच	baca
बच्चन	baccana
बच्चनजी	baccanajī
बच्चा	baccā
बच्ची	baccī
बच्चे	baccē
बच्चें	baccē̃
बच्चों	baccō̃
बचतीं	bacatī̃
बचना	bacanā
बचने	bacanē
बचपन	bacapana
बचा	bacā
बचाई	bacāī
बचाए	bacāē
बचाएँ	bacāē̃
बचाता	bacātā
बचाती	bacātī
बचाते	bacātē
बचाना	bacānā
बचाने	bacānē
बचाया	bacāyā
बचाव	bacāva
बचावकर्मियों	bacāvakarmiyō̃
बचावकर्मी	bacāvakarmī
बचिए	baciē
बची	bacī
बचीं	bacī̃
बचे	bacē
बचेंगे	bacēngē
बचेगा	bacēgā
बछवारा	bachavārā
बज	baja
बजट	bajaṭa
बजता	bajatā
बजती	bajatī
बजरंग	bajaranga
बज्रभूषण	bajrabhūṣaṇa
बजा	bajā
बजाईं	bajāī̃
बजाकर	bajākara
बजाते	bajātē
बजाना	bajānā
बजानी	bajānī
बजाने	bajānē
बजाय	bajāya
बजाया	bajāyā
बजे	bajē
बजेगा	bajēgā
बजेगी	bajēgī
बजौरिया	bajauriyā
बट	baṭa
बट्टा	baṭṭā
बटन	baṭana
बटुआ	baṭuā
बटुए	baṭuē
बटेर	baṭēra
बटोरते	baṭōratē
बटोरी	baṭōrī
बटोरीं	baṭōrī̃
बटोरे	baṭōrē
बड	baḍa
बड़ा	baṛā
बड़ी	baṛī
बड़ीं	baṛī̃
बड़े	baṛē
बड़ों	baṛō̃
बडोदरा	baḍōdarā
बड़ोदा	baṛōdā
बड़ौदा	baṛaudā
बढ़	baṛha
बढ़कर	baṛhakara
बढ़त	baṛhata
बढ़ता	baṛhatā
बढती	baḍhatī
बढ़ती	baṛhatī
बढते	baḍhatē
बढ़ते	baṛhatē
बढ़ने	baṛhanē
बढ़ा	baṛhā
बढ़ाइए	baṛhāiē
बढ़ाई	baṛhāī
बढ़ाए	baṛhāē
बढ़ाएँ	baṛhāē̃
बढ़ाएँगे	baṛhāē̃gē
बढ़ाएं	baṛhāē̃
बढ़ाएंगे	baṛhāēngē
बढ़ाकर	baṛhākara
बढ़ाचढ़ाकर	baṛhācaṛhākara
बढ़ाती	baṛhātī
बढ़ाते	baṛhātē
बढ़ाना	baṛhānā
बढ़ाने	baṛhānē
बढ़ानेवाला	baṛhānēvālā
बढ़ाया	baṛhāyā
बढ़ायी	baṛhāyī
बढावा	baḍhāvā
बढ़ावा	baṛhāvā
बढ़िया	baṛhiyā
बढ़ी	baṛhī
बढ़ीं	baṛhī̃
बढ़े	baṛhē
बढ़ेगा	baṛhēgā
बढ़ेगी	baṛhēgī
बढ़ोत्तरी	baṛhōttarī
बढ़ोतरी	baṛhōtarī
बढ़ौतरी	baṛhautarī
बत्तख	battakha
बत्ती	battī
बतया	batayā
बत्रा	batrā
बता	batā
बताइए	batāiē
बताई	batāī
बताउं	batāũ
बताए	batāē
बताएँ	batāē̃
बताएँगे	batāē̃gē
बताएं	batāē̃
बताएगा	batāēgā
बताता	batātā
बताती	batātī
बताते	batātē
बताना	batānā
बतानी	batānī
बताने	batānē
बताया	batāyā
बतौर	bataura
बदतर	badatara
बदन	badana
बदनसीब	badanasība
बदनाम	badanāma
बदबू	badabū
बदबूदार	badabūdāra
बदमिज़ाजी	badamizājī
बदल	badala
बदलकर	badalakara
बदलता	badalatā
बदलती	badalatī
बदलते	badalatē
बदलना	badalanā
बदलने	badalanē
बदला	badalā
बदलाव	badalāva
बदलावों	badalāvō̃
बदली	badalī
बदलीं	badalī̃
बदले	badalē
बदलेगी	badalēgī
बदसूरत	badasūrata
बदहाल	badahāla
बदहाली	badahālī
बदायूँनी	badāyū̃nī
बदौलत	badaulata
बधाइयाँ	badhāiyā̃
बधाइयों	badhāiyō̃
बधाई	badhāī
बधाईयाँ	badhāīyā̃
बधाईयों	badhāīyō̃
बन	bana
बनकर	banakara
बनता	banatā
बनती	banatī
बनते	banatē
बन्दरगाह	bandaragāha
बन्दा	bandā
बन्धुत्व	bandhutva
बनना	bananā
बननी	bananī
बनने	bananē
बन्य	banya
बनर्जी	banarjī
बनवा	banavā
बनवाने	banavānē
बनवाया	banavāyā
बनसोडे	banasōḍē
बना	banā
बनाई	banāī
बनाईं	banāī̃
बनाए	banāē
बनाएँ	banāē̃
बनाएँगे	banāē̃gē
बनाएगा	banāēgā
बनाएगी	banāēgī
बनाकर	banākara
बनाता	banātā
बनाती	banātī
बनाते	banātē
बनाना	banānā
बनानी	banānī
बनाने	banānē
बनानेवाली	banānēvālī
बनानेवाले	banānēvālē
बनाम	banāma
बनाया	banāyā
बनारस	banārasa
बनावट	banāvaṭa
बनावटी	banāvaṭī
बनिक	banika
बनियान	baniyāna
बनिहाल	banihāla
बनी	banī
बनीं	banī̃
बने	banē
बनेंगी	banēngī
बनेंगे	banēngē
बनेगा	banēgā
बनेगी	banēgī
बब्बू	babbū
बबली	babalī
बबलू	babalū
बम	bama
बम्बइया	bambaiyā
बम्बई	bambaī
बमवर्षक	bamavarṣaka
बमों	bamō̃
बयान	bayāna
बयानबाज़ी	bayānabāzī
बयानों	bayānō̃
ब्याह	byāha
ब्यूटी	byūṭī
ब्यूटीफ़ुल	byūṭīfula
ब्यूनोस	byūnōsa
ब्यूरो	byūrō
ब्योर्कमैन	byōrkamaina
ब्योरा	byōrā
ब्यौरा	byaurā
ब्यौरे	byaurē
बरकरार	barakarāra
बरक़रार	baraqarāra
बर्खास्त	barkhāsta
बर्ख़ास्त	barḵẖāsta
बर्ख़ास्तगी	barḵẖāstagī
बरगी	baragī
बरग़ूती	baraġūtī
ब्रजनंदन	brajanandana
ब्रजेश	brajēśa
बर्ट	barṭa
बर्टन	barṭana
बर्ड	barḍa
बर्डिच	barḍica
बर्तन	bartana
बरतने	baratanē
बरतानियाँ	baratāniyā̃
बर्ताव	bartāva
बरतें	baratē̃
बरतेंगे	baratēngē
बर्थ	bartha
बर्थडे	barthaḍē
बर्दाश्त	bardāśta
बर्धन	bardhana
बर्न	barna
बर्नार्ड	barnārḍa
बरपा	barapā
बर्फ	barpha
बर्फ़	barfa
बर्बाद	barbāda
बर्बादी	barbādī
बरमक	baramaka
बर्मा	barmā
बर्लिन	barlina
बरस	barasa
बरसती	barasatī
बरसात	barasāta
बरसाने	barasānē
बरसी	barasī
बरसे	barasē
ब्रसेल्स	brasēlsa
बरसों	barasō̃
ब्रह्मभट्ट	brahmabhaṭṭa
ब्रह्मा	brahmā
ब्रह्मांड	brahmāṇḍa
ब्रह्मांडीय	brahmāṇḍīya
ब्रह्माण्ड	brahmāṇḍa
ब्रह्मोस	brahmōsa
ब्राँड	brā̃ḍa
ब्रांड	brāṇḍa
ब्रांडो	brāṇḍō
ब्राइड	brāiḍa
ब्राइडल	brāiḍala
ब्राइस	brāisa
ब्राउजर	brāujara
ब्राउज़र	brāuzara
ब्राउन	brāuna
ब्राउसर	brāusara
ब्राजील	brājīla
ब्राज़ील	brāzīla
बरादेई	barādēī
ब्रान्सन	brānsana
बराबर	barābara
बराबरी	barābarī
बरामद	barāmada
ब्रायंट	brāyaṇṭa
ब्रायन	brāyana
बरार	barāra
ब्रास	brāsa
ब्रासनन	brāsanana
ब्राहमण	brāhamaṇa
ब्राह्मण	brāhmaṇa
ब्रिगेड	brigēḍa
ब्रिगेडियर	brigēḍiyara
ब्रिटन	briṭana
ब्रिटनी	briṭanī
ब्रिटिश	briṭiśa
ब्रिटेन	briṭēna
ब्रितानियों	britāniyō̃
ब्रितानी	britānī
ब्रिर्टिश	brirṭiśa
ब्रिस्टल	brisṭala
ब्रिसबेन	brisabēna
बरी	barī
ब्रीच	brīca
ब्रीफ़	brīfa
ब्रीफ़केस	brīfakēsa
ब्रीसेनो	brīsēnō
ब्रूनेल	brūnēla
ब्रूनो	brūnō
ब्रूस	brūsa
ब्रेक	brēka
ब्रेकर	brēkara
ब्रेकिंग	brēkinga
ब्रेट	brēṭa
ब्रेडमैन	brēḍamaina
ब्रेम्पटन	brēmpaṭana
ब्रेमर	brēmara
ब्रेमरवेल्ड	brēmaravēlḍa
ब्रेवो	brēvō
ब्रेसी	brēsī
ब्रैंकाटो	brainkāṭō
ब्रैड	braiḍa
ब्रैन्सन	brainsana
ब्रॉंड	brôṇḍa
ब्रॉडकास्ट	brôḍakāsṭa
ब्रॉडवे	brôḍavē
ब्रॉम्पटन	brômpaṭana
ब्रोकॅस	brōkêsa
ब्रोडी	brōḍī
ब्रोन्ते	brōntē
बल	bala
बल्कि	balki
बलदेव	baladēva
बलनी	balanī
बलबूते	balabūtē
ब्ल्यू	blyū
बलराज	balarāja
बलराम	balarāma
बल्ले	ballē
बल्लेबाज	ballēbāja
बल्लेबाज़	ballēbāza
बल्लेबाजी	ballēbājī
बल्लेबाज़ी	ballēbāzī
बल्लेबाज़ों	ballēbāzō̃
बलवंत	balavanta
बलविंदर	balavindara
बला	balā
ब्लाइंड	blāiṇḍa
ब्लाक	blāka
बलात्कार	balātkāra
ब्लास्टर	blāsṭara
बलि	bali
बलिदान	balidāna
बलिया	baliyā
ब्लू	blū
बलूचिस्तान	balūcistāna
बलूचिस्तानः	balūcistānaḥ
ब्लूटूथ	blūṭūtha
ब्लूम	blūma
ब्लूस्टार	blūsṭāra
ब्लूस्टारः	blūsṭāraḥ
ब्लेयर	blēyara
ब्लेसिंग	blēsinga
ब्लैक	blaika
ब्लैकमेल	blaikamēla
ब्लैटर	blaiṭara
ब्लॉकिंग	blôkinga
ब्लॉग	blôga
ब्लॉगडेक्स	blôgaḍēksa
ब्लॉगर	blôgara
बलों	balō̃
बवाल	bavāla
ब्वॉयफ़्रेंड	bvôyafrēṇḍa
बशर	baśara
बशर्ते	baśartē
बस	basa
बसंत	basanta
बसंती	basantī
बस्तर	bastara
बस्तियों	bastiyō̃
बस्ती	bastī
बसते	basatē
बस्ते	bastē
बसना	basanā
बसने	basanē
बसा	basā
बसाए	basāē
बसाएगा	basāēgā
बसाना	basānā
बसाने	basānē
बसाया	basāyā
बसी	basī
बसु	basu
बसुदेव	basudēva
बसे	basē
बसें	basē̃
बसेगी	basēgī
बसों	basō̃
बह	baha
बहकावे	bahakāvē
बहन	bahana
बहना	bahanā
बहनाने	bahanānē
बहने	bahanē
बहनों	bahanō̃
बहमन	bahamana
बहरहाल	baharahāla
बहलाने	bahalānē
बहलिम	bahalima
बहस	bahasa
बहसों	bahasō̃
बहा	bahā
बहाए	bahāē
बहाकर	bahākara
बहाते	bahātē
बहादुर	bahādura
बहाना	bahānā
बहाने	bahānē
बहाया	bahāyā
बहार	bahāra
बहारें	bahārē̃
बहाल	bahāla
बहिष्कार	bahiṣkāra
बहु	bahu
बहुउद्देशीय	bahuuddēśīya
बहुगुणा	bahuguṇā
बहुचर्चित	bahucarcita
बहुजन	bahujana
बहुत	bahuta
बहुतों	bahutō̃
बहुधर्मी	bahudharmī
बहुपक्षीय	bahupakṣīya
बहुमत	bahumata
बहुमूल्य	bahumūlya
बहुल	bahula
बहुलता	bahulatā
बहुसंख्यक	bahusaṁkhyaka
बहू	bahū
बहे	bahē
बा	bā
बाँक्स	bā̃ksa
बाँट	bā̃ṭa
बाँटता	bā̃ṭatā
बाँटते	bā̃ṭatē
बाँटना	bā̃ṭanā
बाँटने	bā̃ṭanē
बाँटा	bā̃ṭā
बाँध	bā̃dha
बाँधकर	bā̃dhakara
बाँधा	bā̃dhā
बाँधे	bā̃dhē
बाँधों	bā̃dhō̃
बाँस	bā̃sa
बाँसुरी	bā̃surī
बाँह	bā̃ha
बांग्ला	bānglā
बांगलादेश	bāngalādēśa
बांग्लादेश	bānglādēśa
बांग्लादेशी	bānglādēśī
बांट	bāṇṭa
बांटते	bāṇṭatē
बांटने	bāṇṭanē
बांड	bāṇḍa
बांदा	bāndā
बांध	bāndha
बांधना	bāndhanā
बांधे	bāndhē
बांधें	bāndhē̃
बांधों	bāndhō̃
बाइनरी	bāinarī
बाइपास	bāipāsa
बाईस	bāīsa
बाउंस	bāũsa
बाएँ	bāē̃
बाक़ायदा	bāqāyadā
बाकी	bākī
बाक़ी	bāqī
बाग़	bāġ
बागडोर	bāgaḍōra
बागबाँ	bāgabā̃
बागबाग	bāgabāga
बाग़बानी	bāġbānī
बाग्लादेश	bāglādēśa
बाग़वानी	bāġvānī
बागान	bāgāna
बागानवासी	bāgānavāsī
बाग़ी	bāġī
बाघों	bāghō̃
बाज़	bāza
बाजपेयी	bājapēyī
बाजार	bājāra
बाज़ार	bāzāra
बाज़ारीकरण	bāzārīkaraṇa
बाजारों	bājārō̃
बाज़ारों	bāzārō̃
बाज़ी	bāzī
बाज़ू	bāzū
बाट्टीकोलोवा	bāṭṭīkōlōvā
बाड़	bāṛa
बाड़मेर	bāṛamēra
बाड़ी	bāṛī
बाढ़	bāṛha
बात	bāta
बातचीत	bātacīta
बातें	bātē̃
बातों	bātō̃
बाद	bāda
बादल	bādala
बादलों	bādalō̃
बादशाह	bādaśāha
बादशाहत	bādaśāhata
बादों	bādō̃
बाध्य	bādhya
बाध्यता	bādhyatā
बाधा	bādhā
बाधाएँ	bādhāē̃
बाधाएं	bādhāē̃
बाधाओं	bādhāō̃
बाधित	bādhita
बानवे	bānavē
बानी	bānī
बानो	bānō
बाप	bāpa
बापू	bāpū
बापूजी	bāpūjī
बाबतपुर	bābatapura
बाबर	bābara
बाबरी	bābarī
बाबा	bābā
बाबुलनाथ	bābulanātha
बाबू	bābū
बाबूजी	bābūjī
बाबूलाल	bābūlāla
बाम	bāma
बाय	bāya
बायें	bāyē̃
बायो	bāyō
बायोमेडिकल	bāyōmēḍikala
बायोमैट्रिक्स	bāyōmaiṭriksa
बार	bāra
बार्टलेट	bārṭalēṭa
बार्डर	bārḍara
बारबरा	bārabarā
बारबारा	bārabārā
बारलो	bāralō
बार्सिलोना	bārsilōnā
बारह	bāraha
बारहवीं	bārahavī̃
बारात	bārāta
बारादेई	bārādēī
बारिश	bāriśa
बारी	bārī
बारीक़	bārīqa
बारीकी	bārīkī
बारीष	bārīṣa
बारीसाल	bārīsāla
बारुदी	bārudī
बारूद	bārūda
बारूदी	bārūdī
बारे	bārē
बाल	bāla
बाल्को	bālkō
बालकोष	bālakōṣa
बालसिंघम	bālasinghama
बाला	bālā
बालाकृष्णन	bālākṛṣṇana
बालाजी	bālājī
बालासिंघम	bālāsinghama
बाली	bālī
बालों	bālō̃
बावजूद	bāvajūda
बावज़ूद	bāvazūda
बाशा	bāśā
बाशिंदे	bāśindē
बाशिम	bāśima
बास	bāsa
बासुदेव	bāsudēva
बाहर	bāhara
बाहरी	bāharī
बिंद्रा	bindrā
बिंदी	bindī
बिंदु	bindu
बिंदुओं	binduō̃
बिंदुसार	bindusāra
बिक	bika
बिकना	bikanā
बिकनी	bikanī
बिकने	bikanē
बिक्री	bikrī
बिकाऊ	bikāū
बिकिनी	bikinī
बिकी	bikī
बिखर	bikhara
बिखरा	bikharā
बिखराव	bikharāva
बिखरी	bikharī
बिखरे	bikharē
बिखेरी	bikhērī
बिग	biga
बिगड़ती	bigaṛatī
बिगड़े	bigaṛē
बिगाड़	bigāṛa
बिगाड़ने	bigāṛanē
बिगुन	biguna
बिच्छुओं	bicchuō̃
बिच्छू	bicchū
बिछ	bicha
बिछा	bichā
बिछाना	bichānā
बिछाने	bichānē
बिज़नेस	bizanēsa
बिजय	bijaya
बिजली	bijalī
बिजानी	bijānī
बिटर	biṭara
बिटिया	biṭiyā
बिठा	biṭhā
बिठाए	biṭhāē
बिठाते	biṭhātē
बिठाने	biṭhānē
बिड़ला	biṛalā
बिढ़िया	biṛhiyā
बिता	bitā
बिताई	bitāī
बिताए	bitāē
बिताएगा	bitāēgā
बिताऐं	bitāaĩ
बिताते	bitātē
बिताना	bitānā
बिताने	bitānē
बिताया	bitāyā
बिन	bina
बिना	binā
बिनोद	binōda
बिपाशा	bipāśā
बिमारियों	bimāriyō̃
बियोंसि	biyō̃si
बियोंसे	biyō̃sē
बिरंगी	birangī
बिरंगे	birangē
बिरगित	biragita
बिरजू	birajū
बिरसा	birasā
बिरादरी	birādarī
बिल	bila
बिलकुल	bilakula
बिल्कुल	bilkula
बिलख	bilakha
बिलखते	bilakhatē
बिल्डर	bilḍara
बिल्डिंग	bilḍinga
बिल्डिंगों	bilḍingō̃
बिल्लियों	billiyō̃
बिल्ली	billī
बिलासपुर	bilāsapura
बिलौटा	bilauṭā
बिलौटे	bilauṭē
बिशन	biśana
बिशनपुर	biśanapura
बिशनपुरा	biśanapurā
बिष्ट	biṣṭa
बिस्तर	bistara
बिस्वास	bisvāsa
बिहार	bihāra
बिहारी	bihārī
बी	bī
बीआर	bīāra
बीए	bīē
बीएपीएस	bīēpīēsa
बीएमसी	bīēmasī
बीएस	bīēsa
बीएसएफ़	bīēsaēfa
बीगल	bīgala
बीगुन	bīguna
बीच	bīca
बीचम	bīcama
बीचोंबीच	bīcōmbīca
बीज	bīja
बीज़	bīza
बीजिंग	bījinga
बीजेपी	bījēpī
बीटल्स	bīṭalsa
बीटा	bīṭā
बीड़ा	bīṛā
बीड़ू	bīṛū
बीत	bīta
बीतता	bītatā
बीतने	bītanē
बीता	bītā
बीती	bītī
बीते	bītē
बीन	bīna
बीनू	bīnū
बीपी	bīpī
बीपीएम	bīpīēma
बीबी	bībī
बीबीसी	bībīsī
बीबीसीहिंदी	bībīsīhindī
बीमार	bīmāra
बीमारियाँ	bīmāriyā̃
बीमारियों	bīmāriyō̃
बीमारी	bīmārī
बीमाल	bīmāla
बीमीरी	bīmīrī
बीयर	bīyara
बीवी	bīvī
बीस	bīsa
बीसवीं	bīsavī̃
बीसी	bīsī
बीसीसीआई	bīsīsīāī
बुआ	buā
बुक	buka
बुकर	bukara
बुकिंग	bukinga
बुख़ारी	buḵẖārī
बुजुर्ग	bujurga
बुज़ुर्ग	buzurga
बुझाना	bujhānā
बुझाने	bujhānē
बुढ़ापा	buṛhāpā
बुढ़ापे	buṛhāpē
बुढ़िया	buṛhiyā
बुत	buta
बुद्ध	buddha
बुद्धि	buddhi
बुद्धिजीवी	buddhijīvī
बुद्धिमान	buddhimāna
बुध	budha
बुधकर	budhakara
बुधवार	budhavāra
बुनियाद	buniyāda
बुनियादी	buniyādī
बुर्क़ा	burqā
बुरकिनाफासो	burakināphāsō
बुरहान	burahāna
बुरा	burā
बुराई	burāī
बुरी	burī
बुरुंडी	buruṇḍī
बुरे	burē
बुरेजी	burējī
बुल	bula
बुलंद	bulanda
बुलंदशहर	bulandaśahara
बुलंदियाँ	bulandiyā̃
बुलंदियों	bulandiyō̃
बुल्डोज़र	bulḍōzara
बुल्डोज़रों	bulḍōzarō̃
बुलवा	bulavā
बुलवाया	bulavāyā
बुलाई	bulāī
बुलाक	bulāka
बुलाते	bulātē
बुलाना	bulānā
बुलाने	bulānē
बुलाया	bulāyā
बुलावा	bulāvā
बुले	bulē
बुलेट	bulēṭa
बुश	buśa
बू	bū
बूँदी	bū̃dī
बूझकर	būjhakara
बूढ़ी	būṛhī
बूढे	būḍhē
बूढ़े	būṛhē
बूस्टर	būsṭara
बृजेश	bṛjēśa
बृहस्पति	bṛhaspati
बृहस्पतिवार	bṛhaspativāra
बे	bē
बेंच	bēñca
बेंजामिन	bēñjāmina
बेंड	bēṇḍa
बेअसर	bēasara
बेईमान	bēīmāna
बेईमानी	bēīmānī
बेउर	bēura
बेकम	bēkama
बेक़रार	bēqarāra
बेकरी	bēkarī
बेकसूर	bēkasūra
बेक़सूर	bēqasūra
बेकहम	bēkahama
बेकार	bēkāra
बेक़ुसूर	bēqusūra
